word,probability,font_size,opacity
mario,0.011120958729914069,1.0,1.0
super,0.00648144580170321,0.5828135828135828,0.5876712328767123
ps,0.006265654502716658,0.5634095634095634,0.5684931506849314
version,0.00575700358367693,0.5176715176715176,0.5232876712328767
system,0.005695348926823629,0.5121275121275122,0.5178082191780822
nintendo,0.005078802358290625,0.4566874566874567,0.46301369863013697
origin,0.004647219760317522,0.4178794178794179,0.4246575342465754
back,0.0036761589148780393,0.3305613305613306,0.33835616438356164
save,0.0036761589148780393,0.3305613305613306,0.33835616438356164
crash,0.003614504258024739,0.325017325017325,0.33287671232876714
player,0.0035374359369581133,0.3180873180873181,0.32602739726027397
pokemon,0.003522022272744788,0.3167013167013167,0.3246575342465753
got,0.0033987129590381873,0.30561330561330563,0.3136986301369863
buy,0.003337058302184887,0.30006930006930005,0.3082191780821918
playstat,0.003337058302184887,0.30006930006930005,0.3082191780821918
fight,0.0032599899811182613,0.29313929313929316,0.3013698630136985
star,0.0032599899811182613,0.29313929313929316,0.3013698630136985
work,0.0031366806674116604,0.28205128205128205,0.2904109589041095
hard,0.0031212670031983353,0.2806652806652807,0.28904109589041105
come,0.003059612346345035,0.2751212751212751,0.28356164383561633
sne,0.0030133713537050595,0.27096327096327094,0.2794520547945205
fighter,0.0029979576894917344,0.2695772695772696,0.27808219178082194
consol,0.0029825440252784093,0.2681912681912682,0.27671232876712326
love,0.0029825440252784093,0.2681912681912682,0.27671232876712326
sound,0.002920889368425109,0.2626472626472626,0.27123287671232876
two,0.002920889368425109,0.2626472626472626,0.27123287671232876
old,0.0028746483757851335,0.25848925848925847,0.26712328767123295
say,0.002828407383145158,0.2543312543312543,0.2630136986301369
beat,0.002812993718931833,0.25294525294525294,0.2616438356164382
collect,0.002812993718931833,0.25294525294525294,0.2616438356164382
year,0.0027667527262918577,0.24878724878724878,0.2575342465753424
know,0.0027513390620785326,0.24740124740124741,0.25616438356164384
ne,0.0027205117336518824,0.24462924462924462,0.2534246575342466
dreamcast,0.0027050980694385573,0.24324324324324326,0.2520547945205479
sega,0.002689684405225232,0.24185724185724186,0.25068493150684923
think,0.002658857076798582,0.2390852390852391,0.24794520547945198
bit,0.002658857076798582,0.2390852390852391,0.24794520547945198
howev,0.002643443412585257,0.2376992376992377,0.2465753424657533
pretti,0.002643443412585257,0.2376992376992377,0.2465753424657533
card,0.0026280297483719317,0.2363132363132363,0.24520547945205484
releas,0.0026126160841586066,0.23492723492723494,0.24383561643835616
need,0.002550961427305306,0.2293832293832294,0.23835616438356166
fan,0.002550961427305306,0.2293832293832294,0.23835616438356166
classic,0.002504720434665331,0.22522522522522523,0.23424657534246585
see,0.0024893067704520057,0.22383922383922383,0.23287671232876717
seri,0.0024738931062386806,0.22245322245322247,0.23150684931506849
memori,0.0024430657778120304,0.21968121968121967,0.22876712328767113
arcad,0.002396824785172055,0.21552321552321552,0.2246575342465752
color,0.002396824785172055,0.21552321552321552,0.2246575342465752
featur,0.00238141112095873,0.21413721413721415,0.22328767123287674
world,0.002365997456745405,0.21275121275121275,0.22191780821917806
button,0.0023505837925320797,0.2113652113652114,0.22054794520547938
stage,0.0023505837925320797,0.2113652113652114,0.22054794520547938
sinc,0.0023351701283187546,0.20997920997921,0.2191780821917808
could,0.0023197564641054295,0.2085932085932086,0.21780821917808202
enemi,0.0023197564641054295,0.2085932085932086,0.21780821917808202
never,0.0023197564641054295,0.2085932085932086,0.21780821917808202
tri,0.0023197564641054295,0.2085932085932086,0.21780821917808202
titl,0.0023197564641054295,0.2085932085932086,0.21780821917808202
boy,0.002273515471465454,0.20443520443520444,0.2136986301369862
made,0.002273515471465454,0.20443520443520444,0.2136986301369862
find,0.002273515471465454,0.20443520443520444,0.2136986301369862
video,0.002258101807252129,0.20304920304920307,0.21232876712328763
move,0.002227274478825479,0.20027720027720028,0.2095890410958905
boss,0.0022118608146121537,0.1988911988911989,0.2082191780821917
music,0.0022118608146121537,0.1988911988911989,0.2082191780821917
must,0.0021964471503988286,0.19750519750519752,0.20684931506849302
day,0.0021810334861855035,0.19611919611919612,0.20547945205479445
peopl,0.0021502061577588533,0.19334719334719336,0.20273972602739732
easi,0.002134792493545528,0.19196119196119196,0.20136986301369864
quot,0.002103965165118878,0.1891891891891892,0.19863013698630128
ever,0.002088551500905553,0.1878031878031878,0.1972602739726027
enjoy,0.002088551500905553,0.1878031878031878,0.1972602739726027
reason,0.0020731378366922277,0.18641718641718644,0.19589041095890392
anoth,0.0020577241724789026,0.18503118503118504,0.19452054794520546
everi,0.0020577241724789026,0.18503118503118504,0.19452054794520546
actual,0.0020114831798389273,0.18087318087318088,0.19041095890410975
overal,0.001996069515625602,0.1794871794871795,0.18904109589041096
may,0.001996069515625602,0.1794871794871795,0.18904109589041096
challeng,0.001980655851412277,0.17810117810117812,0.18767123287671228
advanc,0.0019344148587723017,0.17394317394317396,0.18356164383561657
give,0.0019190011945589766,0.17255717255717257,0.18219178082191778
start,0.0019035875303456515,0.17117117117117117,0.1808219178082191
street,0.0019035875303456515,0.17117117117117117,0.1808219178082191
gba,0.0018881738661323264,0.1697851697851698,0.17945205479452053
bad,0.0018727602019190013,0.1683991683991684,0.17808219178082196
friend,0.0018727602019190013,0.1683991683991684,0.17808219178082196
final,0.001841932873492351,0.16562716562716565,0.1753424657534246
port,0.001841932873492351,0.16562716562716565,0.1753424657534246
problem,0.001841932873492351,0.16562716562716565,0.1753424657534246
cool,0.001826519209279026,0.16424116424116425,0.17397260273972603
without,0.0018111055450657008,0.16285516285516285,0.17260273972602735
run,0.0018111055450657008,0.16285516285516285,0.17260273972602735
end,0.0017648645524257255,0.1586971586971587,0.16849315068493154
nice,0.0017648645524257255,0.1586971586971587,0.16849315068493154
sonic,0.0017494508882124004,0.15731115731115733,0.16712328767123286
gameboy,0.0017494508882124004,0.15731115731115733,0.16712328767123286
part,0.0017494508882124004,0.15731115731115733,0.16712328767123286
price,0.0017340372239990753,0.15592515592515593,0.16575342465753418
