word,probability,font_size,opacity
work,0.011719390971664464,1.0,1.0
control,0.008644886044683957,0.7376565954310981,0.740356564019449
ps,0.008161256056170168,0.6963890935887987,0.6995137763371151
system,0.00778126106519505,0.6639646278555638,0.6674230145867099
xbox,0.007349448575450597,0.6271186440677967,0.6309562398703403
card,0.006140373604166127,0.5239498894620487,0.5288492706645056
problem,0.0057258336140114515,0.4885777450257922,0.4938411669367909
pc,0.005034933630420326,0.4296241709653648,0.4354943273905997
new,0.0047585736369838766,0.4060427413411939,0.4121555915721231
money,0.00472402863780432,0.40309506263817246,0.4092382495948136
consol,0.004551303641906539,0.38835666912306566,0.39465153970826583
review,0.004464941143957648,0.38098747236551217,0.38735818476499184
version,0.004309488647649644,0.367722918201916,0.3742301458670988
better,0.004171308650931419,0.3559322033898305,0.36256077795786057
got,0.0040849461529825284,0.3485630066322771,0.3552674230145866
bought,0.0040676736533927504,0.3470891672807664,0.35380875202593187
know,0.003964038655854082,0.33824613117170227,0.3450567260940032
say,0.003964038655854082,0.33824613117170227,0.3450567260940032
product,0.003843131158725635,0.3279292557111275,0.33484602917341977
run,0.0037740411603665223,0.3220338983050847,0.3290113452188006
back,0.0037394961611869663,0.3190862196020634,0.32609400324149107
save,0.003584043664878963,0.3058216654384672,0.312965964343598
comput,0.003584043664878963,0.3058216654384672,0.312965964343598
microsoft,0.003566771165289185,0.30434782608695654,0.3115072933549433
could,0.0035322261661096285,0.30140014738393517,0.3085899513776337
peopl,0.003480408667340294,0.2969786293294031,0.30421393841166944
well,0.0034285911685709596,0.29255711127487105,0.299837925445705
need,0.0032385936730834003,0.2763448784082535,0.2837925445705023
still,0.003100413676365175,0.264554163596168,0.2721231766612642
start,0.0030485961775958406,0.26013264554163595,0.26774716369529983
screen,0.0030313236780060626,0.25865880619012527,0.2662884927066451
support,0.0030140511784162846,0.25718496683861464,0.2648298217179903
year,0.0029967786788265066,0.25571112748710395,0.2633711507293356
great,0.002979506179236728,0.2542372881355932,0.26191247974068055
video,0.00296223367964695,0.2527634487840826,0.26045380875202595
never,0.00296223367964695,0.2527634487840826,0.26045380875202595
think,0.00296223367964695,0.2527634487840826,0.26045380875202595
also,0.002944961180057172,0.2512896094325719,0.25899513776337113
instal,0.0029276886804673937,0.24981577008106118,0.2575364667747162
nintendo,0.0029104161808776157,0.2483419307295505,0.2560777957860616
see,0.0029104161808776157,0.2483419307295505,0.2560777957860616
come,0.0029104161808776157,0.2483419307295505,0.2560777957860616
put,0.002824053682928725,0.24097273397199706,0.2487844408427876
memori,0.002824053682928725,0.24097273397199706,0.2487844408427876
mani,0.002806781183338947,0.23949889462048637,0.24732576985413268
wast,0.002703146185800278,0.23065585851142226,0.2385737439222042
soni,0.002668601186620722,0.2277081798084009,0.23565640194489457
right,0.0026340561874411655,0.2247605011053795,0.23273905996758504
purchas,0.0025131486903127187,0.21444362564480474,0.22252836304700152
anoth,0.002478603691133162,0.21149594694178334,0.219611021069692
two,0.002444058691953606,0.208548268238762,0.21669367909238246
playstat,0.0024267861923638278,0.20707442888725128,0.21523500810372764
wii,0.0024095136927740498,0.20560058953574062,0.21377633711507305
read,0.0024095136927740498,0.20560058953574062,0.21377633711507305
day,0.0023576961940047153,0.20117907148120856,0.20940032414910847
fun,0.0023576961940047153,0.20117907148120856,0.20940032414910847
give,0.0023576961940047153,0.20117907148120856,0.20940032414910847
box,0.0023576961940047153,0.20117907148120856,0.20940032414910847
take,0.0023404236944149373,0.19970523212969787,0.20794165316045365
turn,0.0023231511948251593,0.19823139277818722,0.20648298217179895
lot,0.0022195161972864905,0.1893883566691231,0.19773095623987025
ds,0.002202243697696712,0.18791451731761238,0.19627228525121543
month,0.0021504261989273776,0.18349299926308033,0.1918962722852513
let,0.0021504261989273776,0.18349299926308033,0.1918962722852513
made,0.002081336200568265,0.17759764185703758,0.1860615883306319
someth,0.0020295187017989307,0.17317612380250552,0.18168557536466778
cd,0.0020295187017989307,0.17317612380250552,0.18168557536466778
sinc,0.0020122462022091527,0.17170228445099486,0.18022690437601296
button,0.0020122462022091527,0.17170228445099486,0.18022690437601296
hour,0.0020122462022091527,0.17170228445099486,0.18022690437601296
drive,0.0019949737026193747,0.17022844509948418,0.17876823338735803
batteri,0.0019777012030295963,0.16875460574797346,0.17730956239870344
window,0.0019777012030295963,0.16875460574797346,0.17730956239870344
said,0.0019604287034398183,0.1672807663964628,0.17585089141004862
ever,0.0019604287034398183,0.1672807663964628,0.17585089141004862
hard,0.0019604287034398183,0.1672807663964628,0.17585089141004862
set,0.0019604287034398183,0.1672807663964628,0.17585089141004862
find,0.00194315620385004,0.1658069270449521,0.1743922204213939
star,0.00194315620385004,0.1658069270449521,0.1743922204213939
wait,0.00194315620385004,0.1658069270449521,0.1743922204213939
psp,0.00194315620385004,0.1658069270449521,0.1743922204213939
cabl,0.001925883704260262,0.16433308769344143,0.1729335494327391
return,0.001925883704260262,0.16433308769344143,0.1729335494327391
releas,0.001925883704260262,0.16433308769344143,0.1729335494327391
actual,0.0018913387050807058,0.16138540899042006,0.17001620745542945
amazon,0.0018913387050807058,0.16138540899042006,0.17001620745542945
sure,0.0018913387050807058,0.16138540899042006,0.17001620745542945
everi,0.0018740662054909276,0.15991156963890937,0.16855753646677452
old,0.0018567937059011494,0.1584377302873987,0.16709886547811992
abl,0.0018395212063113714,0.156963890935888,0.1656401944894651
fan,0.001787703707542037,0.15254237288135594,0.16126418152350075
load,0.001787703707542037,0.15254237288135594,0.16126418152350075
thought,0.0017704312079522588,0.15106853352984526,0.15980551053484604
fix,0.0017704312079522588,0.15106853352984526,0.15980551053484604
price,0.0017531587083624808,0.14959469417833457,0.15834683954619122
noth,0.0017531587083624808,0.14959469417833457,0.15834683954619122
howev,0.0017186137091829243,0.1466470154753132,0.1554294975688817
minut,0.0017186137091829243,0.1466470154753132,0.1554294975688817
gamecub,0.0017013412095931463,0.1451731761238025,0.15397082658022687
patch,0.0017013412095931463,0.1451731761238025,0.15397082658022687
sound,0.0017013412095931463,0.1451731761238025,0.15397082658022687
seem,0.0017013412095931463,0.1451731761238025,0.15397082658022687
dvd,0.0017013412095931463,0.1451731761238025,0.15397082658022687
updat,0.001684068710003368,0.14369933677229182,0.15251215559157216
requir,0.00166679621041359,0.14222549742078114,0.15105348460291734
disc,0.00166679621041359,0.14222549742078114,0.15105348460291734
charg,0.0016495237108238119,0.14075165806927045,0.14959481361426252
worth,0.0016322512112340337,0.13927781871775977,0.1481361426256077
last,0.0016322512112340337,0.13927781871775977,0.1481361426256077
littl,0.0016322512112340337,0.13927781871775977,0.1481361426256077
mb,0.0016149787116442557,0.13780397936624908,0.14667747163695288
mous,0.0016149787116442557,0.13780397936624908,0.14667747163695288
help,0.0015977062120544774,0.1363301400147384,0.14521880064829817
crash,0.0015977062120544774,0.1363301400147384,0.14521880064829817
came,0.0015977062120544774,0.1363301400147384,0.14521880064829817
issu,0.0015804337124646992,0.1348563006632277,0.14376012965964335
fine,0.0015804337124646992,0.1348563006632277,0.14376012965964335
second,0.0015631612128749212,0.13338246131171702,0.14230145867098865
download,0.001545888713285143,0.13190862196020633,0.14084278768233383
origin,0.001545888713285143,0.13190862196020633,0.14084278768233383
compani,0.001528616213695365,0.13043478260869568,0.139384116693679
keep,0.001528616213695365,0.13043478260869568,0.139384116693679
anyth,0.0015113437141055868,0.12896094325718496,0.1379254457050243
softwar,0.0015113437141055868,0.12896094325718496,0.1379254457050243
stick,0.0014767987149260306,0.12601326455416362,0.13500810372771477
power,0.0014767987149260306,0.12601326455416362,0.13500810372771477
end,0.0014422537157464744,0.12306558585114225,0.13209076175040502
xp,0.0014422537157464744,0.12306558585114225,0.13209076175040502
call,0.0014249812161566961,0.12159174649963155,0.1306320907617503
enough,0.0014249812161566961,0.12159174649963155,0.1306320907617503
mean,0.0014249812161566961,0.12159174649963155,0.1306320907617503
pay,0.001407708716566918,0.12011790714812086,0.1291734197730955
may,0.00139043621697714,0.11864406779661019,0.12771474878444078
quot,0.00139043621697714,0.11864406779661019,0.12771474878444078
piec,0.00139043621697714,0.11864406779661019,0.12771474878444078
player,0.0013731637173873617,0.11717022844509949,0.12625607779578596
qualiti,0.0013731637173873617,0.11717022844509949,0.12625607779578596
long,0.0013558912177975835,0.1156963890935888,0.12479740680713114
least,0.0013558912177975835,0.1156963890935888,0.12479740680713114
feel,0.0013558912177975835,0.1156963890935888,0.12479740680713114
best,0.0013386187182078055,0.11422254974207813,0.12333873581847643
sell,0.0013213462186180273,0.11274871039056743,0.12188006482982161
recommend,0.0013040737190282493,0.11127487103905676,0.12042139384116701
far,0.0013040737190282493,0.11127487103905676,0.12042139384116701
love,0.0013040737190282493,0.11127487103905676,0.12042139384116701
buck,0.001286801219438471,0.10980103168754607,0.11896272285251208
rate,0.001286801219438471,0.10980103168754607,0.11896272285251208
week,0.001286801219438471,0.10980103168754607,0.11896272285251208
hope,0.001286801219438471,0.10980103168754607,0.11896272285251208
complet,0.001286801219438471,0.10980103168754607,0.11896272285251208
pretti,0.0012695287198486928,0.10832719233603537,0.11750405186385726
happen,0.0012695287198486928,0.10832719233603537,0.11750405186385726
unless,0.0012695287198486928,0.10832719233603537,0.11750405186385726
either,0.0012522562202589148,0.1068533529845247,0.11604538087520266
onlin,0.0012522562202589148,0.1068533529845247,0.11604538087520266
terribl,0.0012522562202589148,0.1068533529845247,0.11604538087520266
differ,0.0012522562202589148,0.1068533529845247,0.11604538087520266
light,0.0012349837206691366,0.10537951363301401,0.11458670988654773
friend,0.0012349837206691366,0.10537951363301401,0.11458670988654773
line,0.0012349837206691366,0.10537951363301401,0.11458670988654773
chang,0.0012177112210793586,0.10390567428150332,0.11312803889789314
driver,0.0012177112210793586,0.10390567428150332,0.11312803889789314
though,0.0012177112210793586,0.10390567428150332,0.11312803889789314
high,0.0012177112210793586,0.10390567428150332,0.11312803889789314
brand,0.0012177112210793586,0.10390567428150332,0.11312803889789314
around,0.0012004387214895804,0.10243183492999264,0.1116693679092381
store,0.0012004387214895804,0.10243183492999264,0.1116693679092381
stop,0.0012004387214895804,0.10243183492999264,0.1116693679092381
next,0.0012004387214895804,0.10243183492999264,0.1116693679092381
design,0.0012004387214895804,0.10243183492999264,0.1116693679092381
nice,0.0011831662218998022,0.10095799557848195,0.11021069692058338
without,0.0011831662218998022,0.10095799557848195,0.11021069692058338
dont,0.0011831662218998022,0.10095799557848195,0.11021069692058338
tell,0.0011658937223100242,0.09948415622697127,0.10875202593192856
