word,probability,font_size,opacity
stori,0.005937976073337614,1.0,1.0
level,0.005580861709362095,0.9398592450415866,0.9341121495327102
battl,0.004904623871195687,0.8259756877799104,0.8093457943925233
end,0.00419039514324465,0.7056941778630837,0.6775700934579438
final,0.003909262558838391,0.6583493282149712,0.6257009345794392
hour,0.0038408789572260574,0.6468330134357005,0.6130841121495327
point,0.0038180844233552795,0.6429942418426103,0.6088785046728972
enemi,0.0038180844233552795,0.6429942418426103,0.6088785046728972
system,0.003650924508302909,0.6148432501599488,0.57803738317757
find,0.0035521481948628717,0.5982085732565579,0.5598130841121495
rpg,0.0035065591271213163,0.5905310300703774,0.5514018691588785
fight,0.0035065591271213163,0.5905310300703774,0.5514018691588785
pretti,0.0033773901018535756,0.5687779910428663,0.5275700934579439
start,0.00329381014432739,0.5547024952015355,0.5121495327102803
around,0.0030430702717488345,0.5124760076775431,0.46588785046728964
peopl,0.0030430702717488345,0.5124760076775431,0.46588785046728964
lot,0.0030354720937919087,0.5111964171465131,0.46448598130841123
bore,0.002997481204007279,0.5047984644913628,0.45747663551401874
two,0.00288350853465339,0.4856046065259117,0.436448598130841
feel,0.0028455176448687605,0.47920665387076133,0.42943925233644853
back,0.002777134043256427,0.4676903390914907,0.41682242990654206
actual,0.0027391431534717976,0.46129238643634035,0.40981308411214956
kill,0.0027315449755148714,0.46001279590531025,0.40841121495327093
fantasi,0.002708750441644094,0.4561740243122201,0.4042056074766356
move,0.00267835772981639,0.45105566218809984,0.3985981308411215
quest,0.00267835772981639,0.45105566218809984,0.3985981308411215
seem,0.002670759551859464,0.4497760716570697,0.39719626168224287
seri,0.0026555631959456123,0.4472168905950096,0.39439252336448594
attack,0.0026479650179886864,0.4459373000639795,0.3929906542056075
item,0.0026327686620748344,0.44337811900191937,0.3901869158878505
puzzl,0.0026099741282040565,0.4395393474088291,0.3859813084112149
world,0.0026023759502471306,0.43825975687779906,0.3845794392523364
new,0.002594777772290205,0.436980166346769,0.383177570093458
give,0.002564385060462501,0.43186180422264875,0.3775700934579439
come,0.0025567868825055753,0.4305822136916187,0.3761682242990654
everi,0.0025491887045486494,0.42930262316058865,0.37476635514018697
player,0.002488403280893242,0.4190658989123481,0.3635514018691588
complet,0.0024808051029363157,0.4177863083813179,0.3621495327102803
littl,0.00247320692497939,0.41650671785028787,0.36074766355140175
someth,0.00247320692497939,0.41650671785028787,0.36074766355140175
know,0.0024580105690655382,0.41394753678822777,0.3579439252336448
never,0.002450412391108612,0.41266794625719766,0.3565420560747663
need,0.002450412391108612,0.41266794625719766,0.3565420560747663
interest,0.002374430611539353,0.399872040946897,0.3425233644859813
though,0.002374430611539353,0.399872040946897,0.3425233644859813
differ,0.002374430611539353,0.399872040946897,0.3425233644859813
still,0.0023592342556255012,0.3973128598848369,0.33971962616822426
part,0.002351636077668575,0.3960332693538067,0.33831775700934574
got,0.002351636077668575,0.3960332693538067,0.33831775700934574
anoth,0.0023364397217547233,0.3934740882917466,0.3355140186915888
problem,0.0023212433658408712,0.39091490722968647,0.33271028037383177
howev,0.0022832524760562417,0.3845169545745361,0.32570093457943916
noth,0.0022376634083146863,0.37683941138835575,0.31728971962616825
review,0.002222467052400834,0.37428023032629554,0.3144859813084112
run,0.0021920743405731305,0.3691618682021753,0.30887850467289724
combat,0.0021844761626162047,0.36788227767114523,0.3074766355140186
enough,0.0021692798067023526,0.365323096609085,0.30467289719626156
save,0.002154083450788501,0.3627639155470249,0.30186915887850463
long,0.0021084943830469455,0.35508637236084456,0.2934579439252337
annoy,0.0021084943830469455,0.35508637236084456,0.2934579439252337
monster,0.0021084943830469455,0.35508637236084456,0.2934579439252337
ever,0.0020932980271330935,0.35252719129878435,0.2906542056074767
dungeon,0.0020932980271330935,0.35252719129878435,0.2906542056074767
made,0.0020629053153053897,0.3474088291746641,0.2850467289719626
sound,0.002055307137348464,0.34612923864363404,0.28364485981308407
voic,0.002047708959391538,0.344849648112604,0.28224299065420566
boss,0.002032512603477686,0.3422904670505438,0.2794392523364486
right,0.0020173162475638344,0.3397312859884837,0.2766355140186917
hard,0.0020173162475638344,0.3397312859884837,0.2766355140186917
enjoy,0.002009718069606908,0.33845169545745357,0.27523364485981316
far,0.0020021198916499823,0.3371721049264235,0.27383177570093453
music,0.0019869235357361306,0.3346129238643634,0.2710280373831776
fan,0.0019641290018653527,0.33077415227127316,0.26682242990654204
turn,0.001956530823908427,0.3294945617402431,0.2654205607476635
plot,0.001933736290037649,0.3256557901471529,0.26121495327102817
fact,0.001933736290037649,0.3256557901471529,0.26121495327102817
mean,0.0019185399341237971,0.32309660908509275,0.258411214953271
sinc,0.0019109417561668713,0.3218170185540627,0.2570093457943926
love,0.0017893709088560564,0.30134357005758156,0.23457943925233649
weapon,0.0017513800190714266,0.2949456174024312,0.22757009345794377
area,0.0017437818411145008,0.29366602687140114,0.22616822429906547
real,0.0017209873072437229,0.28982725527831094,0.2219626168224299
quot,0.001713389129286797,0.28854766474728083,0.22056074766355138
design,0.0016526037056313896,0.2783109404990403,0.20934579439252343
everyth,0.0016526037056313896,0.2783109404990403,0.20934579439252343
next,0.0016374073497175377,0.27575175943698016,0.20654205607476628
let,0.0016298091717606119,0.2744721689059501,0.20514018691588787
quit,0.0016298091717606119,0.2744721689059501,0.20514018691588787
map,0.0016222109938036858,0.27319257837492,0.20373831775700935
found,0.00161461281584676,0.27191298784388995,0.20233644859813094
work,0.0015994164599329082,0.2693538067818298,0.19953271028037378
instead,0.0015918182819759821,0.26807421625079975,0.19813084112149515
develop,0.0015842201040190563,0.2667946257197697,0.19672897196261674
best,0.0015842201040190563,0.2667946257197697,0.19672897196261674
frustrat,0.0015766219260621302,0.2655150351887396,0.19532710280373822
put,0.0015690237481052044,0.26423544465770954,0.1939252336448598
place,0.0015690237481052044,0.26423544465770954,0.1939252336448598
magic,0.0015690237481052044,0.26423544465770954,0.1939252336448598
main,0.0015614255701482784,0.26295585412667943,0.19252336448598129
expect,0.0015614255701482784,0.26295585412667943,0.19252336448598129
either,0.0015462292142344265,0.2603966730646193,0.18971962616822435
done,0.0015386310362775007,0.2591170825335892,0.18831775700934572
easi,0.0015386310362775007,0.2591170825335892,0.18831775700934572
least,0.0015310328583205747,0.2578374920025592,0.1869158878504673
star,0.0015310328583205747,0.2578374920025592,0.1869158878504673
experi,0.0015310328583205747,0.2578374920025592,0.1869158878504673
old,0.0015234346803636488,0.2565579014715291,0.1855140186915888
may,0.0015234346803636488,0.2565579014715291,0.1855140186915888
lack,0.0015158365024067228,0.255278310940499,0.18411214953271027
anyth,0.001500640146492871,0.25271912987843886,0.18130841121495334
anim,0.001500640146492871,0.25271912987843886,0.18130841121495334
without,0.001500640146492871,0.25271912987843886,0.18130841121495334
reason,0.001493041968535945,0.2514395393474088,0.17990654205607493
might,0.001493041968535945,0.2514395393474088,0.17990654205607493
spell,0.001485443790579019,0.2501599488163787,0.1785046728971963
ff,0.0014778456126220932,0.24888035828534869,0.17710280373831777
minut,0.0014702474346651672,0.24760076775431858,0.17570093457943925
build,0.0014626492567082414,0.24632117722328853,0.17429906542056084
hit,0.0014626492567082414,0.24632117722328853,0.17429906542056084
last,0.0014550510787513155,0.24504158669225848,0.1728971962616822
die,0.0014550510787513155,0.24504158669225848,0.1728971962616822
overal,0.0014550510787513155,0.24504158669225848,0.1728971962616822
unit,0.0014550510787513155,0.24504158669225848,0.1728971962616822
camera,0.0014474529007943895,0.2437619961612284,0.17149532710280369
big,0.0014474529007943895,0.2437619961612284,0.17149532710280369
movi,0.0014398547228374637,0.24248240563019835,0.17009345794392516
year,0.0014322565448805376,0.24120281509916824,0.16869158878504653
wait,0.0014322565448805376,0.24120281509916824,0.16869158878504653
disappoint,0.0014246583669236118,0.2399232245681382,0.16728971962616812
base,0.0014246583669236118,0.2399232245681382,0.16728971962616812
whole,0.0014170601889666858,0.23864363403710812,0.1658878504672896
screen,0.0014170601889666858,0.23864363403710812,0.1658878504672896
origin,0.0014170601889666858,0.23864363403710812,0.1658878504672896
almost,0.00140946201100976,0.23736404350607807,0.1644859813084112
side,0.00140946201100976,0.23736404350607807,0.1644859813084112
short,0.001401863833052834,0.23608445297504796,0.16308411214953267
second,0.001401863833052834,0.23608445297504796,0.16308411214953267
nice,0.001401863833052834,0.23608445297504796,0.16308411214953267
difficult,0.001394265655095908,0.2348048624440179,0.16168224299065403
idea,0.001394265655095908,0.2348048624440179,0.16168224299065403
explor,0.001394265655095908,0.2348048624440179,0.16168224299065403
button,0.001386667477138982,0.23352527191298783,0.16028037383177574
action,0.0013790692991820562,0.23224568138195778,0.1588785046728971
gener,0.0013562747653112783,0.22840690978886755,0.15467289719626165
chang,0.0013486765873543525,0.2271273192578375,0.15327102803738324
alway,0.0013486765873543525,0.2271273192578375,0.15327102803738324
keep,0.0013334802314405006,0.22456813819577734,0.1504672897196263
set,0.0013258820534835746,0.22328854766474726,0.14906542056074767
sure,0.0013258820534835746,0.22328854766474726,0.14906542056074767
probabl,0.0013258820534835746,0.22328854766474726,0.14906542056074767
titl,0.0013182838755266487,0.2220089571337172,0.14766355140186915
kind,0.0013182838755266487,0.2220089571337172,0.14766355140186915
town,0.0013106856975697227,0.2207293666026871,0.14626168224299052
must,0.0013030875196127969,0.21944977607165705,0.14485981308411222
power,0.0013030875196127969,0.21944977607165705,0.14485981308411222
basic,0.0012954893416558708,0.21817018554062698,0.1434579439252336
worth,0.0012954893416558708,0.21817018554062698,0.1434579439252336
act,0.0012954893416558708,0.21817018554062698,0.1434579439252336
spend,0.001287891163698945,0.21689059500959693,0.14205607476635518
huge,0.001280292985742019,0.21561100447856682,0.14065420560747666
person,0.0012726948077850932,0.21433141394753677,0.13925233644859814
bit,0.0012574984518712413,0.21177223288547664,0.1364485981308412
skill,0.0012499002739143152,0.21049264235444654,0.13504672897196257
beat,0.0012499002739143152,0.21049264235444654,0.13504672897196257
day,0.0012499002739143152,0.21049264235444654,0.13504672897196257
adventur,0.0012499002739143152,0.21049264235444654,0.13504672897196257
line,0.0012423020959573894,0.20921305182341648,0.13364485981308405
challeng,0.0012347039180004636,0.20793346129238643,0.13224299065420542
begin,0.0012271057400435376,0.20665387076135636,0.13084112149532712
call,0.0012195075620866117,0.2053742802303263,0.12943925233644848
scene,0.0012119093841296857,0.2040946896992962,0.12803738317757007
storylin,0.0012119093841296857,0.2040946896992962,0.12803738317757007
read,0.0012043112061727599,0.20281509916826615,0.12663551401869155
ps,0.001181516672301982,0.19897632757517592,0.12242990654205599
els,0.001181516672301982,0.19897632757517592,0.12242990654205599
guy,0.001181516672301982,0.19897632757517592,0.12242990654205599
entir,0.0011739184943450561,0.19769673704414586,0.12102803738317769
thought,0.0011739184943450561,0.19769673704414586,0.12102803738317769
happen,0.0011739184943450561,0.19769673704414586,0.12102803738317769
talk,0.00116632031638813,0.1964171465131158,0.11962616822429906
rather,0.0011511239604742782,0.19385796545105566,0.1168224299065419
name,0.0011435257825173524,0.19257837492002558,0.1154205607476636
abl,0.0011359276045604264,0.1912987843889955,0.11401869158878497
finish,0.0011283294266035005,0.19001919385796545,0.11261682242990656
half,0.0011207312486465745,0.18873960332693537,0.11121495327102804
mayb,0.0011131330706896487,0.1874600127959053,0.10981308411214952
pick,0.0011131330706896487,0.1874600127959053,0.10981308411214952
simpli,0.0011131330706896487,0.1874600127959053,0.10981308411214952
forc,0.0011131330706896487,0.1874600127959053,0.10981308411214952
especi,0.0011131330706896487,0.1874600127959053,0.10981308411214952
open,0.0011055348927327226,0.18618042226487522,0.1084112149532711
cool,0.0010979367147757968,0.18490083173384517,0.10700934579439247
age,0.001082740358861945,0.18234165067178504,0.10420560747663554
watch,0.001082740358861945,0.18234165067178504,0.10420560747663554
dark,0.001075142180905019,0.18106206014075493,0.10280373831775702
tell,0.001075142180905019,0.18106206014075493,0.10280373831775702
unfortun,0.001067544002948093,0.17978246960972488,0.10140186915887861
except,0.001067544002948093,0.17978246960972488,0.10140186915887861
three,0.001067544002948093,0.17978246960972488,0.10140186915887861
often,0.001067544002948093,0.17978246960972488,0.10140186915887861
