word,probability,font_size,opacity
level,0.009275293559482862,1.0,1.0
enemi,0.0058972838334717115,0.6358056265984654,0.6300230946882217
move,0.005090736567429723,0.5488491048593349,0.5416859122401847
fight,0.004815561617838928,0.5191815856777493,0.5115473441108545
stori,0.0041133910568141386,0.4434782608695652,0.4346420323325635
mission,0.0038192385244929425,0.4117647058823529,0.4024249422632795
shoot,0.0033732653303285495,0.3636828644501279,0.35357967667436485
around,0.00332582137350255,0.35856777493606135,0.3483833718244803
pretti,0.0033163325821373504,0.35754475703324806,0.34734411085450345
point,0.0033163325821373504,0.35754475703324806,0.34734411085450345
lot,0.0032214446684853517,0.34731457800511506,0.3369515011547344
mode,0.003211955877120152,0.3462915601023018,0.3359122401847575
new,0.0031740007116593523,0.34219948849104853,0.33175519630484995
kill,0.0031455343375637527,0.3391304347826087,0.32863741339491914
back,0.0031075791721029535,0.3350383631713555,0.3244803695150116
run,0.003060135215276954,0.32992327365728896,0.31928406466512704
weapon,0.003003202467085755,0.3237851662404092,0.31304849884526564
sound,0.002946269718894556,0.3176470588235294,0.30681293302540424
littl,0.002889336970703357,0.31150895140664964,0.30057736720554273
end,0.002870359387972957,0.309462915601023,0.298498845265589
quot,0.002870359387972957,0.309462915601023,0.298498845265589
bore,0.002851381805242557,0.3074168797953964,0.29642032332563506
actual,0.0028324042225121573,0.30537084398976977,0.2943418013856812
player,0.0027849602656861584,0.3002557544757033,0.2891454965357968
still,0.0027280275174949593,0.29411764705882354,0.2829099307159354
start,0.002718538726129759,0.2930946291560102,0.2818706697459584
find,0.0027090499347645594,0.2920716112531969,0.28083140877598145
hard,0.0026995611433993597,0.29104859335038363,0.2797921478060047
know,0.002623650812477761,0.28286445012787725,0.27147806004618935
seem,0.0026141620211125607,0.2818414322250639,0.2704387990762126
button,0.0026141620211125607,0.2818414322250639,0.2704387990762126
save,0.0025951844383821612,0.27979539641943735,0.26836027713625865
hit,0.0025762068556517614,0.2777493606138107,0.2662817551963048
give,0.0025667180642865617,0.27672634271099744,0.26524249422632795
differ,0.002547740481556162,0.2746803069053708,0.2631639722863741
come,0.0024813189419997626,0.2675191815856777,0.25588914549653574
problem,0.002471830150634563,0.26649616368286444,0.254849884526559
right,0.002452852567904163,0.2644501278772378,0.25277136258660504
noth,0.0024338749851737637,0.26240409207161125,0.2506928406466513
complet,0.0023864310283477643,0.2572890025575448,0.2454965357967669
two,0.002376942236982564,0.25626598465473144,0.2444572748267897
frustrat,0.002376942236982564,0.25626598465473144,0.2444572748267897
anoth,0.0023579646542521648,0.25421994884910487,0.2423787528868362
beat,0.0023484758628869646,0.25319693094629153,0.241339491916859
guy,0.0023484758628869646,0.25319693094629153,0.241339491916859
though,0.0023105206974261654,0.24910485933503834,0.23718244803695154
enough,0.0022915431146957655,0.24705882352941175,0.2351039260969976
movi,0.0022535879492349663,0.24296675191815856,0.23094688221709014
gun,0.002206143992408967,0.23785166240409206,0.2257505773672055
feel,0.0021681888269481676,0.23375959079283887,0.22159353348729793
star,0.002111256078756968,0.22762148337595903,0.21535796766743653
best,0.002111256078756968,0.22762148337595903,0.21535796766743653
jump,0.0021017672873917684,0.22659846547314577,0.21431870669745967
attack,0.0020448345392005693,0.22046035805626596,0.20808314087759816
let,0.0020353457478353696,0.21943734015345268,0.2070438799076212
never,0.0020258569564701695,0.21841432225063936,0.20600461893764443
camera,0.0020258569564701695,0.21841432225063936,0.20600461893764443
everi,0.0020163681651049698,0.21739130434782608,0.20496535796766746
die,0.00200687937373977,0.2163682864450128,0.2039260969976905
need,0.00199739058237457,0.21534526854219946,0.20288683602771362
peopl,0.0019499466255485708,0.21023017902813299,0.1976905311778291
long,0.0019404578341833708,0.20920716112531967,0.19665127020785222
fan,0.001930969042818171,0.20818414322250636,0.19561200923787536
got,0.001930969042818171,0.20818414322250636,0.19561200923787536
action,0.001930969042818171,0.20818414322250636,0.19561200923787536
ever,0.0019214802514529712,0.20716112531969308,0.1945727482678984
howev,0.0019214802514529712,0.20716112531969308,0.1945727482678984
boss,0.0019119914600877713,0.20613810741687977,0.19353348729792152
part,0.0018930138773573717,0.2040920716112532,0.19145496535796758
pokemon,0.0018645475032617721,0.2010230179028133,0.18833718244803688
match,0.0018360811291661724,0.1979539641943734,0.18521939953810618
someth,0.0018360811291661724,0.1979539641943734,0.18521939953810618
lack,0.0018076147550705728,0.19488491048593348,0.18210161662817548
old,0.0017981259637053731,0.1938618925831202,0.18106235565819873
person,0.0017981259637053731,0.1938618925831202,0.18106235565819873
enjoy,0.0017981259637053731,0.1938618925831202,0.18106235565819873
easi,0.0017886371723401732,0.1928388746803069,0.18002309468822175
second,0.0017791483809749733,0.19181585677749358,0.17898383371824478
seri,0.0017791483809749733,0.19181585677749358,0.17898383371824478
ps,0.0017696595896097734,0.1907928388746803,0.17794457274826792
